starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 20:52:23 2022	1664797943	2	44	45	43
Mon Oct 03 20:52:23 2022	1664797943	0	46	46	44
Mon Oct 03 20:52:23 2022	1664797943	2	511	513	511
Mon Oct 03 20:52:23 2022	1664797943	3	511	513	511
Mon Oct 03 20:52:23 2022	1664797943	3	514	517	514
Mon Oct 03 20:52:23 2022	1664797943	3	519	522	519
Mon Oct 03 20:52:23 2022	1664797943	3	540	543	540
Mon Oct 03 20:52:23 2022	1664797943	3	544	547	544
Mon Oct 03 20:52:23 2022	1664797943	3	546	549	545
Mon Oct 03 20:52:23 2022	1664797943	3	569	571	568
Mon Oct 03 20:52:23 2022	1664797943	3	570	573	570
Mon Oct 03 20:52:23 2022	1664797943	3	570	573	570
Mon Oct 03 20:52:23 2022	1664797943	3	574	577	574
Mon Oct 03 20:52:23 2022	1664797943	2	586	587	585
Mon Oct 03 20:52:23 2022	1664797943	3	585	587	584
Mon Oct 03 20:52:23 2022	1664797943	3	596	599	596
Mon Oct 03 20:52:23 2022	1664797943	3	597	600	597
Mon Oct 03 20:52:23 2022	1664797943	2	604	605	603
Mon Oct 03 20:52:23 2022	1664797943	2	604	606	604
Mon Oct 03 20:52:23 2022	1664797943	2	614	616	614
Mon Oct 03 20:52:23 2022	1664797943	3	616	619	616
Mon Oct 03 20:52:23 2022	1664797943	2	617	620	617
Mon Oct 03 20:52:29 2022	1664797949	0	621	621	621
Mon Oct 03 20:52:23 2022	1664797943	3	623	626	623
Mon Oct 03 20:52:23 2022	1664797943	3	662	665	662
Mon Oct 03 20:52:23 2022	1664797943	3	668	671	668
Mon Oct 03 20:52:23 2022	1664797943	3	675	677	674
Mon Oct 03 20:52:23 2022	1664797943	3	677	680	677
Mon Oct 03 20:52:23 2022	1664797943	2	684	686	684
Mon Oct 03 20:52:44 2022	1664797964	0	688	688	688
Mon Oct 03 20:52:23 2022	1664797943	1	691	692	691
Mon Oct 03 20:52:43 2022	1664797963	0	692	692	692
Mon Oct 03 20:52:23 2022	1664797943	2	697	699	696
Mon Oct 03 20:52:23 2022	1664797943	3	701	703	700
Mon Oct 03 20:52:23 2022	1664797943	2	703	705	702
Mon Oct 03 20:52:23 2022	1664797943	1	709	710	709
Mon Oct 03 20:52:43 2022	1664797963	0	712	712	712
Mon Oct 03 20:52:43 2022	1664797963	0	713	713	712
Mon Oct 03 20:52:23 2022	1664797943	2	713	715	713
Mon Oct 03 20:52:23 2022	1664797943	2	730	732	730
Mon Oct 03 20:52:43 2022	1664797963	0	738	738	737
Mon Oct 03 20:52:43 2022	1664797963	0	742	742	739
Mon Oct 03 20:52:43 2022	1664797963	0	746	746	745
Mon Oct 03 20:52:43 2022	1664797963	0	749	749	749
Mon Oct 03 20:52:43 2022	1664797963	0	751	751	749
Mon Oct 03 20:52:43 2022	1664797963	0	755	755	754
Mon Oct 03 20:52:29 2022	1664797949	0	758	758	758
Mon Oct 03 20:52:43 2022	1664797963	0	760	760	760
Mon Oct 03 20:52:43 2022	1664797963	0	762	762	761
